course,University,Difficulty Level,Course Rating,Course URL,description,Skills
Non-Equilibrium Applications of Statistical Thermodynamics,University of Colorado Boulder,Intermediate,4.4,https://www.coursera.org/learn/stats-thermo-non-equilibrium-applications,"Course 5 of Statistical Thermodynamics explores three different applications of non-equilibrium statistical thermodynamics.  The first is the transport behavior of ideal gases, with some discussion of transport in dense gases and liquids. It starts with simple estimates of the transport properties of an ideas gas. It then introduces the Boltzmann Equation and describes the Chapman-Enskog solution of that equation in order to obtain the transport properties. It closes with a discussion of practical sources of transport properties.   Spectroscopic methods have become increasingly common as a way of determining the thermodynamic state of a system. Here we present the underlying concepts of the subject and explores how spectroscopy can be used to determine thermodynamic and flow properties.  Chemical kinetics are important in a variety of fluid/thermal applications including combustion, air quality, fuel cells and material processing. Here we cover the basics of chemical kinetics, with a particular focus on combustion. It starts with some definitions, including reaction rate and reaction rate constant. It then explores methods for determining reaction rate constants. Next, systems of reactions, or reaction mechanisms, are explored, including the oxidation of hydrogen and hydrocarbon fuels. Finally, computational tools for carrying out kinetic calculations are explored.",measurement  chemistry  energy level  statistical mechanics  Mechanical Engineering  Chemical Engineering  flow network  physics  energy  fluid mechanics physical-science-and-engineering mechanical-engineering
Digitalisation in Space Research,Technische Universit�t M�nchen (TUM),Intermediate,4.6,https://www.coursera.org/learn/space,This course provides an overview of the most important digital applications in the field of aerospace research. The course instructors discuss how digitalisation is impacting and changing both satellite-based and manned spaceflight research. One unit is specifically devoted to exploring the use of artificial intelligence in the evaluation of satellite data.,Imagery Intelligence  spacecraft communication  Transportation Analysis  Aerospace Engineering  unmanned vehicles  Electronic Signals Intelligence  Navigation Equipment  Unmanned Aerial System  interplanetary internet  unmanned aerial vehicle physical-science-and-engineering mechanical-engineering
"Everyday Excel, Part 2",University of Colorado Boulder,Advanced,4.9,https://www.coursera.org/learn/everyday-excel-part-2,"""Everyday Excel, Part 2"" is a continuation of the popular ""Everyday Excel, Part 1"".  Building on concepts learned in the first course, you will continue to expand your knowledge of applications in Excel.  This course is aimed at intermediate users, but even Advanced users will pick up new skills and tools in Excel.  By the end of this course, you will have the skills and tools to take on the project-based ""Everyday Excel, Part 3 (Projects)"".  This course is the second part of a three-part series and Specialization that focuses on teaching introductory through very Advanced techniques and tools in Excel.  In this course (Part 2), you will: 1) learn Advanced data management techniques; 2) learn how to implement financial calculations in Excel; 3) use Advanced tools in Excel (Data Tables, Goal Seek, and Solver) to perform and solve ""what-if"" analyses; 4) learn how to create mathematical predictive regression models using the Regression tool in Excel.  This course is meant to be fun and thought-provoking.  I hope for you to at least several times in the course say to yourself, ""Wow, I hadn't thought of that before!""  Given the wide range in experience and abilities of learners, the goal of the course is to appeal to a wide audience.  The course is organized into 5 Weeks (modules).   To pass each module, you'll need to pass a mastery quiz and complete a problem solving assignment.  This course is unique in that the weekly assignments are completed in-application (i.e., on your own computer in Excel), providing you with valuable hands-on training.",interest-only loan  screencast  loan  internal rate of return  amortizing loan  nominal interest rate  interest rate  amortization schedule  depreciation  Microsoft Excel computer-science design-and-product
Water Supply and Sanitation Policy in Developing Countries Part 1: Understanding Complex Problems,University of Manchester,Intermediate,4.7,https://www.coursera.org/learn/water,"Our course explores what can be done to solve the complex problem that half a billion people worldwide do not have improved water supplies and two billion do not have improved sanitation. We look forward to you joining us. We want to help you develop the skills you need to address this major global challenge of the 21st century.   Our course has informative video lectures and guest interviews with leading water policy scholars and practitioners. We will provide you with discussion forum topic prompts, which will invite you to engage with other learners from around the globe. Our MOOC will also ask you to attempt weekly quizzes and a challenging assignment that tackles a real water and sanitation problem in a difficult setting.   Please watch this trailer: https://youtu.be/Q-HmaCZNd0k",sanitation  anonymous pipe  supply chain  Environmental Law  climate change  public health  water quality  path dependence  private investment in public equity  water supply social-sciences governance-and-society
"Emergency Care: Pregnancy, Infants, and Children",University of Colorado System,Intermediate,4.8,https://www.coursera.org/learn/emergency-care-pregnancy-infants-children,"Welcome to the final course of lectures in your quest to master EMT basics. In this course, we will cover some of the highest-stress patient populations: pregnant patients and kids, also known as pediatrics. To wrap up your EMT knowledge we will end this course with information about hazmat situations, extricating patients from tight spots and finally how you write a note about your patient care.  You will learn to ensure it communicates what your assessment of the patient was, what interventions you performed and why you did them.  You will build on your knowledge of anatomy, patient assessment and scene safety to develop an approach to these new patient populations. We will walk through the things that make pregnant patients and pediatric patients different but also what makes them the same as all the patients you care for.  Prepare yourself for some noisy kids, some uncomfortable moms and hopefully a lot of fun learning new things.",child abuse  anatomy  medical device  pediatrics  patient  emergency  medical devices  pregnancy  child  scope of practice life-sciences patient-care
Brand & Content Marketing,IE Business School,Intermediate,4,https://www.coursera.org/learn/brand-and-content-marketing,"Brand & Content Marketing is a IE University course for professionals who want to learn how to produce memorable content through quality storytelling.   Students will go through a learning process that will start with a deep understanding of the term Branded Content and its main differences with traditional advertising, simultaneously creating an effective story-line through powerful values. The course analyses the production of quality journalism and explores how to create memorable and long lasting connections with a given target audience in a world of constant content surplus. It concludes with a deeper insight into the term of Brand Entertainment, giving them the opportunity to amplify their knowledge about how to produce a good call to action and retain the audience's attention.",branded content  audience  Marketing  Brand Management  Advertising  Storytelling  gamification  brand  Journalism  content marketing arts-and-humanities history
Legal aspects of conducting business in Russia,Saint Petersburg State University,Advanced,4.5,https://www.coursera.org/learn/legal-business-russia,"This course is designed for people who intend to perform business in Russia.  The entrepreneur constantly functions in the legal field: creates his enterprise, acquires property, concludes transactions, interacts with control and supervisory state bodies and bodies of the judicial system. Success of business and fate of the entrepreneur himself depend on the choice of the form of entrepreneurial activity, knowledge of his or her rights and obligations, on the correct response to legal and illegal actions of employees of government and management. That is why knowledge of law and ability to use legal tools in order to achieve goals are important for an entrepreneur no less than knowledge in the field of economics, finance and management.  The course gives a general overview on the most important issues such as: Russian political, legal and judicial systems, foreign investment policy, foreign trade, most common forms of legal presence in Russia for foreign investors, regulation on business activity in Russia etc",investment  foreign direct investment  Banking  intellectual property  justice  limited liability  representative office  trading  education  authorised capital business business-essentials
A Crash Course in Data Science,Johns Hopkins University,Conversant,4.4,https://www.coursera.org/learn/data-science-course,"By now you have definitely heard about data science and big data. In this one-week class, we will provide a crash course in what these terms mean and how they play a role in successful organizations. This class is for anyone who wants to learn what all the data science action is about, including those who will eventually need to manage data scientists. The goal is to get you up to speed as quickly as possible on data science without all the fluff. We've designed this course to be as convenient as possible without sacrificing any of the essentials.  This is a focused course designed to rapidly get you up to speed on the field of data science. Our goal was to make this as convenient as possible for you without sacrificing any essential content. We've left the technical information aside so that you can focus on managing your team and moving it forward.  After completing this course you will know.   1. How to describe the role data science plays in various contexts 2. How statistics, machine learning, and software engineering play a role in data science 3. How to describe the structure of a data science project 4. Know the key terms and tools used by data scientists 5. How to identify a successful and an unsuccessful data science project 3. The role of a data science manager   Course cover image by r2hox. Creative Commons BY-SA: https://flic.kr/p/gdMuhT",analysis  Machine Learning  software  Human Learning  Data Analysis  General Statistics  Exploratory Data Analysis  Leadership and Management  Software Engineering  project data-science data-analysis
Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,Beginner,4.9,https://www.coursera.org/learn/addiction-treatment,"This course is designed with a singular goal: to improve the care you provide to your patients with substance use disorders. By delving into a model case performed by actors, seven Yale instructors from various fields provide techniques to screen your patients for substance use disorder risk, diagnose patients to gauge the severity of their use, directly manage treatment plans, refer out to treatment services, and navigate the various conditions that may limit your patient�s access to treatment. You will ultimately be prepared to provide compassionate and evidence-based care to a large population of patients living with addiction� a chronic, often relapsing-remitting disease, but a treatable one.  Distribution of this course is made possible through a SAMHSA-funded grant initiative, the Expansion of Interprofessional Healthcare Practitioner SUD Education, which provides a foundational level of evidence-based training in preventing and treating substance use disorders. AAAP is working in collaboration with Yale University, the American College of Academic Addiction Medicine (ACAAM), and a coalition of 37 multidisciplinary healthcare learning institutions across the country to train health professionals including medicine, nursing, physician associate, social work, pharmacy and public health.  Note: The content in this course is intended solely to inform and educate medical professionals. This site shall not be used for medical advice and is not a substitute for the advice or treatment of a qualified medical professional.",medication  motivational interviewing  smoking  psychotherapy  psychosocial  Addiction Treatment  addiction  therapy  substance use disorder  patient life-sciences patient-care
Collaborate on Files in Slack: Local & Google Drive Integrations,Coursera Project Network,Intermediate,5,https://www.coursera.org/learn/collaborate-files-slack-local-google-drive-integrations,"By the end of this project, you will maximize collaborations by supporting messages with files and creating files in Slack. You�ll do this by gaining hands-on experience sharing files in Slack with local and external integrations. Utilizing local and external or cloud-based integrations boosts productivity because it will give you the opportunity to keep work product based in your Slack digital workspace, avoid versioning confusion, and ensure that your team is referring to the most relevant and timely documents. For the purpose of this course, we will use the free to use, Google Drive external integration. Your hands-on project will include drag, drop, and upload techniques and creating an archive. You will also integrate cloud-based/outside service files within your Slack environment by adding the free Google Drive app to your Slack workspace. You will then gain experience leveraging your Google Drive tool and your Slack file archive together to maximize collaborations.  You will work through this guided project in the Slack app on your Rhyme virtual machine, where you will use your current Slack workspace or set up a sample workspace under Slack�s free plan so that you can gain hands-on experience collaborating with files in Slack with local and external integrations.  Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",organizational communication  archive file  Cloud-Based Integration  workspace  pointing device gesture  maximization (psychology)  organizing (management)  message  Business Communication  Collaboration business business-strategy
University Admission Prediction Using Multiple Linear Regression,Coursera Project Network,Intermediate,4.6,https://www.coursera.org/learn/machine-learning-university-admission,"In this hands-on guided project, we will train regression models to find the probability of a student getting accepted into a particular university based on their profile. This project could be practically used to get the university acceptance rate for individual students using web application.   Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.",Standard Score  modeling  Coefficient Of Determination  Regression  linear regression  Data Analysis  Studentized Residual  project  Python Programming  linearity data-science machine-learning
Introduction to Supply Chain Finance & Blockchain Technology,New York Institute of Finance,Advanced,4.7,https://www.coursera.org/learn/introduction-supply-chain-finance-blockchain-technology,"What is Supply Chain Finance? How does Blockchain apply? In this course, you�ll learn about an emerging set of solutions within trade finance implemented by financial institutions, leading corporate buyers and their trading partners all over the world known as Supply Chain Finance. You�ll learn about the key enablers in Supply Chain Finance and recognize the key challenges in the current market that are responsible for the growing interest in Supply Chain Finance. You�ll cover the concept, attributes, and metrics of working capital in great detail and review the four main products and solutions in Supply Chain Finance. The course will wrap up with a brief introduction to Blockchain and the basic concepts of Blockchain Technology. By the end of this course, you�ll have learned about the options to enter into the Supply Chain Finance market and how to identify the best solutions for your organization. There is no prerequisite knowledge required to participate in this course, but general business and financial acumen are helpful in understanding the full details of Supply Chain Finance solutions.",FinTech  supply chain  BlockChain  reason  working capital  chaining  early adopter  trade finance  leverage (finance)  Finance business business-strategy
Computational Thinking for K-12 Educators Capstone,University of California San Diego,Advanced,3,https://www.coursera.org/learn/computational-thinking-k12-educators-capstone,"In this capstone project course, you will learn to support your students in successfully completing the Advanced Placement Principles Create Task -- however this task can be useful for any course as a culminating, student-designed final programming project.  You will learn to interpret and practice applying to real sample student work the Create Task rubric and have the option to modify it for your own setting.  You'll prepare resources to help students through the challenges that come with doing an open-ended project that still needs to meet certain specifications.  Finally, you'll complete your own Create Task assignment including writing about the ways in which you designed algorithms, used abstraction, and struggled with a challenge while completing the task.  You'll be prepared to help students do well on the Advanced Placement Computer Science Principles Create Task!",Computer Programming  abstraction  iOS Development  event (computing)  Program Development  Expectation Maximization Algorithm  i-deas  lambda calculus  Algorithms  resource social-sciences education
Physics of silicon solar cells,�cole Polytechnique,Intermediate,4.4,https://www.coursera.org/learn/physics-silicon-solar-cells,"The first MOOC �Photovoltaic solar energy� is a general presentation of the solar photovoltaics technologies in the global energetic context, without extensive details. In particular the description of the solar cell operation is restricted to the ideal case  In contrast this second MOOC allows a deep understanding of the properties of solar cells based on crystalline semiconductors. It consists in a general presentation of the physics of the photovoltaics devices with a particular emphasize on the silicon technology that currently represents more than 90% share of the market. Photovoltaic applications of III-V semiconductors are also mentioned.  Indeed from a fundamental point of view, a solar cell can be considered as a semiconductor device (a diode) exposed to the sunlight. An introduction to the semiconductor physics is given, followed by the electron transport phenomena in a diode device. A detailed description of the solar cell operation is then provided, including the conversion efficiency limitations. A description of the solar spectrum and the optical properties of the cells are also presented. Finally the crystalline silicon technology is described from the bulk crystalline growth up to the preparation of heterojunctions combining crystalline and amorphous materials.",lambda calculus  Solar Energy  packaging  astronomy  physics  Nanotechnology  java annotation  .properties  silicon  materials physical-science-and-engineering physics-and-astronomy
Introduction to Personal Branding,University of Virginia,Beginner,4.3,https://www.coursera.org/learn/personal-branding,"Though the concept of personal branding isn't new, questions remain about how to create one and, more importantly, what it means to maintain and inhabit that brand.   Learners will:  o\tUnderstand both what personal branding means and what it means to inhabit their brand o\tEstablish themselves on at least three social media platforms  o\tCreate a mission statement for their personal brand o\tBuild a board of directors for their brand o\tBecome familiar with the basics of digital security and reputation management o\tCreate a system for on-going brand maintenance   Join instructor Kimberley R. Barker as she provides a warm, supportive atmosphere in which learners are encouraged to intensively explore themselves in order to create a personal brand that authentically and effectively communicates their values and professional gifts. Together we will build a strong community in which to provide encouragement and feedback, and support each other as learners pursue their goal of successful brand creation.",digital branding  personal branding  Communication  reputation  brand  Brand Management  Marketing  Leadership and Management  personal advertisement  Social Media personal-development personal-development
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,Beginner,4.6,https://www.coursera.org/learn/neuroscience-neuroimaging,"Neuroimaging methods are used with increasing frequency in clinical practice and basic research. Designed for students and professionals, this course will introduce the basic principles of neuroimaging methods as applied to human subjects research and introduce the neuroscience concepts and terminology necessary for a basic understanding of neuroimaging applications. Topics include the history of neuroimaging, an introduction to neuroimaging physics and image formation, as well as an overview of different neuroimaging applications, including functional MRI, diffusion tensor imaging, magnetic resonance spectroscopy, perfusion imaging, and positron emission tomography imaging. Each will be reviewed in the context of their specific methods, source of signal, goals, and limitations. The course will also introduce basic neuroscience concepts necessary to understand the implementation of neuroimaging methods, including structural and functional human neuroanatomy, cognitive domains, and experimental design.",principle  anatomy  fmri  neuroscience  neuroimaging  neurobiology  neuropsychological assessment  Experimental Design  cognition  Experiment life-sciences basic-science
Graph Analytics for Big Data,University of California San Diego,Beginner,4.2,https://www.coursera.org/learn/big-data-graph-analytics,"Want to understand your data network structure and how it changes under different conditions? Curious to know how to identify closely interacting clusters within a graph? Have you heard of the fast-growing area of graph analytics and want to learn more? This course gives you a broad overview of the field of graph analytics so you can learn new ways to model, store, retrieve and analyze graph-structured data.  After completing this course, you will be able to model a problem into a graph database and perform analytical tasks over the graph in a scalable manner.  Better yet, you will be able to apply these techniques to understand the significance of your data sets for your own projects.",Apache  graphs  Big Data  Apache Spark  Graph Theory  Databases  centrality  graph database  analytics  neo4j data-science data-analysis
Learn Mandarin Chinese: Capstone Project,Shanghai Jiao Tong University,Beginner,4.7,https://www.coursera.org/learn/learn-mandarin-project,"Learn Mandarin Chinese: Capstone Project is a beginner's course of Mandarin Chinese in continuation of Mandarin Chinese 3: Chinese for Beginners. In this course, learners are required to complete a few tasks of using Chinese languages in simulated real life situations. Some guidance on taking and passing HSK (Chinese proficiency test) will also be provided. By completing this course, the learners will finish the learning of the whole series and be standing at the threshold of intermediate Chinese proficiency.",language  Software Testing  chinese language  American Sign Language  one health  hanyu shuiping kaoshi  Big Data  fee  project  Communication language-learning other-languages
Introduction to International Criminal Law,Case Western Reserve University,Intermediate,4.8,https://www.coursera.org/learn/international-criminal-law,"-- About the Course --  From the Nuremberg trial to the case against Saddam Hussein, from the prosecution of Al-Qaeda terrorists to the trial of Somali pirates � no area of law is as important to world peace and security as international criminal law.  Taught by one of the world�s leading experts in the field, this course will educate students about the fundamentals of international criminal law and policy.  We will explore the contours of international crimes such as genocide, war crimes, terrorism, and piracy.  We will examine unique modes of international criminal liability and specialized defenses.  And we will delve into the challenges of obtaining custody of the accused and maintaining control of the courtroom.  -- Course Syllabus --  This course comprises eight units (or ""modules""). Each will include an assigned reading, typically an article or book chapter, as well as a simulation designed to bring the readings to life.  I will also offer video lectures on each of the topics, accompanied by slides.  In addition, there will be online role-play exercises and debates, enabling the students to share their own insights.   The order of class sessions will be:  (1)     History: From Nuremberg to The Hague  (2)     International Crimes Part 1: War Crimes, Genocide, Crimes against Humanity, and Torture  (3)     International Crimes Part 2: Terrorism and Piracy  (4)     Special modes of liability: command responsibility, co-perpetration, and incitement  (5)      Special defenses: insanity, obedience to orders, duress, and head of state immunity  (6)      Gaining custody of the accused: extradition, luring, abduction, and targeted killing  (7)      Pre-Trial Issues: plea bargaining, self-representation, and exclusion of torture evidence  (8)      Maintaining control of the courtroom      -- Recommended Background --  You don�t have to be a lawyer and there are no prerequisites for this course. However, the course will be conducted at the level expected of Advanced undergraduate students. Therefore, for all participants, reading and writing comfortably in English at the undergraduate college level is desirable.   -- Suggested Readings --  Students should read the assigned online materials for each unit in advance of the class session.    In addition, students are invited to subscribe to �War Crimes Prosecution Watch,� a free bi-weekly e-newsletter that summarizes the latest developments in the field of international criminal law.  -- Course Format --  This course is made up of eight content units. Each unit is based on an online reading assignment, a video lecture of about one hour in length, and one or more role play exercises to stimulate on-line discussion. The course also offers in-video enrichment quizzes (ungraded) for each unit, a ten question multiple choice midterm diagnostics exam (ungraded), and a ten question True/False Final Exam.     -- FAQ--  How will this course be graded?   This course is graded on completion. In order to complete the course each student must: (1) finish each module (or �lesson�); (2) write at least one essay response of 200 words or more for at least one simulation throughout the course; and (3) get a score of 6 out of 10 or better on the Final Exam.  What resources will I need for this course?  For this course, all you need is an Internet connection, and the time to read and discuss the exciting materials available online.  What is the coolest thing about this course?  The topics we will be discussing are ripped from the headlines.  The topics are often controversial and thought-provoking, and always exciting.",international law  history  international relations  Legal Research  crime  justice  Criminal Justice  law  terrorism  Prosecution social-sciences law
Health Care IT: Challenges and Opportunities,Icahn School of Medicine at Mount Sinai,Beginner,4.7,https://www.coursera.org/learn/healthcare-it,"A strong argument can be made that the health care field is one of the most information-intensive sectors in the U.S. economy and avoidance of the rapid advances in information technology is no longer an option. Consequently, the study of health care information technology and systems has become central to health care delivery effectiveness. This course covers the modern application of information technology that is critical to supporting the vision and operational knowledge of the health care leaders in managing the health care organization. Heath care decision-makers have to meet head-on the dynamic challenges of health care delivery quality, cost, access, and regulatory control. Additionally, this course integrates the Healthcare Information System as integral to the Quality Assurance Tracking Programs including measurement of systems inputs, processes, and outputs with special emphasis on systems outcomes research and organizational accountability to its various stakeholders, not the least of which are government regulators.",health informatics  electronic human resources  digital medicine  medicine  patient portal  mhealth  electronic health record  telemedicine  health care  patient life-sciences healthcare-management
